Team,Year,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
Ottawa Senators,2003,26.3,82,52,21,1,113,0.689,263,182,0.88,-0.11,5.43,176,124,83,391,21.23,50,332,84.94,4,8,13.6,16.5,2441,10.8,2033,0.91,,,
Dallas Stars,2003,30,82,46,17,4,111,0.677,245,169,0.94,0.01,5.05,174,113,62,327,18.96,50,346,85.55,9,6,13.9,13.9,2466,9.9,2073,0.918,,,
Detroit Red Wings,2003,31.4,82,48,20,4,110,0.671,269,203,0.85,0.05,5.76,182,144,76,319,23.82,55,377,85.41,11,4,14.5,13.6,2441,11,2361,0.914,,,
New Jersey Devils,2003,29.3,82,46,20,6,108,0.659,216,166,0.49,-0.12,4.66,173,130,36,303,11.88,32,264,87.88,7,4,11.3,11.2,2601,8.3,1933,0.914,,,
Philadelphia Flyers,2003,29.1,82,45,20,4,107,0.652,211,166,0.43,-0.12,4.6,156,108,47,328,14.33,50,338,85.21,8,8,11.9,11.9,2537,8.3,2019,0.918,,,
Colorado Avalanche,2003,28.7,82,42,19,8,105,0.64,251,194,0.75,0.06,5.43,178,125,68,363,18.73,63,359,82.45,5,6,12.9,13.2,2386,10.5,2322,0.916,,,
Vancouver Canucks,2003,26.9,82,45,23,1,104,0.634,264,208,0.74,0.05,5.76,165,136,87,419,20.76,62,389,84.06,12,10,14,15,2388,11.1,2185,0.905,,,
St. Louis Blues,2003,29.6,82,41,24,6,99,0.604,253,222,0.43,0.05,5.79,162,144,80,391,20.46,71,389,81.75,11,7,19.6,17.9,2301,11,2047,0.892,,,
Toronto Maple Leafs,2003,30.4,82,44,28,3,98,0.598,236,208,0.26,-0.08,5.41,162,145,63,359,17.55,56,426,86.85,11,7,16.7,13.7,2152,11,2423,0.914,,,
Minnesota Wild,2003,28,82,42,29,1,95,0.579,198,178,0.32,0.08,4.59,137,130,52,366,14.21,43,308,86.04,9,5,12.6,13.9,2086,9.5,2335,0.924,,,
Mighty Ducks of Anaheim,2003,27.7,82,40,27,6,95,0.579,203,193,0.19,0.07,4.83,139,146,56,348,16.09,42,333,87.39,8,5,11.4,11.9,2246,9,2377,0.919,,,
Tampa Bay Lightning,2003,26.8,82,36,25,5,93,0.567,219,210,-0.01,-0.12,5.23,143,150,70,391,17.9,55,316,82.59,6,5,12.8,14.3,2395,9.1,2298,0.909,,,
Washington Capitals,2003,29.1,82,39,29,6,92,0.561,224,220,-0.06,-0.11,5.41,159,144,57,331,17.22,72,384,81.25,8,4,15.2,13.5,2223,10.1,2454,0.91,,,
Edmonton Oilers,2003,26.6,82,36,26,9,92,0.561,231,230,0.12,0.11,5.62,162,161,56,386,14.51,61,351,82.62,13,8,14.5,15,2292,10.1,2248,0.898,,,
Boston Bruins,2003,27.9,82,36,31,4,87,0.53,245,237,0.02,-0.08,5.88,176,161,59,325,18.15,65,375,82.67,10,11,16.4,15,2636,9.3,2322,0.898,,,
New York Islanders,2003,27.7,82,35,34,2,83,0.506,224,231,-0.16,-0.07,5.55,154,159,58,384,15.1,67,405,83.46,12,5,14.9,14.6,2427,9.2,2318,0.9,,,
Chicago Blackhawks,2003,29.6,82,30,33,6,79,0.482,207,226,-0.14,0.09,5.28,160,162,39,308,12.66,56,369,84.82,8,8,14.1,12.2,2279,9.1,2345,0.904,,,
Los Angeles Kings,2003,28.4,82,33,37,6,78,0.476,203,221,-0.13,0.09,5.17,143,155,52,354,14.69,62,371,83.29,8,4,13.4,13.3,2272,8.9,2141,0.897,,,
Phoenix Coyotes,2003,27.5,82,31,35,5,78,0.476,204,230,-0.23,0.08,5.29,145,142,55,385,14.29,77,412,81.31,4,11,17.2,16.9,2297,8.9,2458,0.906,,,
New York Rangers,2003,29.4,82,32,36,4,78,0.476,210,231,-0.33,-0.08,5.38,147,150,55,339,16.22,73,388,81.19,8,8,15.8,14.2,2465,8.5,2426,0.905,,,
Montreal Canadiens,2003,28.9,82,30,35,9,77,0.47,206,234,-0.39,-0.05,5.37,160,170,44,315,13.97,58,317,81.7,2,6,10.7,11,2119,9.7,2678,0.913,,,
Calgary Flames,2003,27.4,82,29,36,4,75,0.457,186,228,-0.37,0.14,5.05,134,153,47,389,12.08,65,389,83.29,5,10,16.7,16.5,2341,7.9,2222,0.897,,,
Nashville Predators,2003,27.1,82,27,35,7,74,0.451,183,206,-0.17,0.11,4.74,123,137,58,418,13.88,61,353,82.72,2,8,11.7,13.3,2316,7.9,2252,0.909,,,
Atlanta Thrashers,2003,27.1,82,31,39,5,74,0.451,226,284,-0.78,-0.07,6.22,154,205,64,371,17.25,65,355,81.69,8,14,15,15.8,2163,10.4,2593,0.89,,,
San Jose Sharks,2003,27.5,82,28,37,8,73,0.445,214,239,-0.21,0.1,5.52,141,161,68,375,18.13,68,358,81.01,5,10,13.2,14.3,2303,9.3,2392,0.9,,,
Buffalo Sabres,2003,25.9,82,27,37,8,72,0.439,190,219,-0.4,-0.05,4.99,131,155,51,354,14.41,53,363,85.4,8,11,15.2,14.7,2345,8.1,2296,0.905,,,
Florida Panthers,2003,25.1,82,24,36,9,70,0.427,176,237,-0.78,-0.03,5.04,120,162,49,347,14.12,66,356,81.46,7,9,13.6,14.4,2229,7.9,2724,0.913,,,
Columbus Blue Jackets,2003,27.7,82,29,42,3,69,0.421,213,263,-0.51,0.11,5.8,130,194,71,410,17.32,60,409,85.33,12,9,18,18.9,2143,9.9,2641,0.9,,,
Pittsburgh Penguins,2003,27.8,82,27,44,5,65,0.396,189,255,-0.85,-0.04,5.41,120,187,66,360,18.33,58,352,83.52,3,10,13.3,11.8,2079,9.1,2535,0.899,,,
Carolina Hurricanes,2003,28.5,82,22,43,6,61,0.372,171,240,-0.9,-0.06,5.01,107,160,58,420,13.81,71,392,81.89,6,9,14.5,16.1,2414,7.1,2332,0.897,,,
Detroit Red Wings,2002,31.9,82,51,17,4,116,0.707,251,187,0.83,0.05,5.34,169,132,73,359,20.33,48,343,86.01,9,7,12.7,12.9,2538,9.9,2159,0.913,,,
Boston Bruins,2002,28.1,82,43,24,9,101,0.616,236,201,0.33,-0.09,5.33,183,151,39,283,13.78,45,349,87.11,14,5,17.6,15.2,2595,9.1,2057,0.902,,,
Toronto Maple Leafs,2002,29.6,82,43,25,4,100,0.61,249,207,0.44,-0.08,5.56,186,150,54,349,15.47,51,328,84.45,9,6,14.7,15.5,2339,10.6,2044,0.899,,,
San Jose Sharks,2002,27.9,82,44,27,3,99,0.604,248,199,0.62,0.02,5.45,174,139,59,369,15.99,54,381,85.83,15,6,15.1,15.1,2227,11.1,2335,0.915,,,
Colorado Avalanche,2002,27.9,82,45,28,1,99,0.604,212,169,0.58,0.06,4.65,143,121,62,344,18.02,41,315,86.98,7,7,12.2,12.6,2252,9.4,2177,0.922,,,
St. Louis Blues,2002,29.3,82,43,27,4,98,0.598,227,188,0.54,0.07,5.06,160,125,62,356,17.42,56,379,85.22,5,7,16.1,15.5,2378,9.5,1847,0.898,,,
Philadelphia Flyers,2002,28.9,82,42,27,3,97,0.591,234,192,0.41,-0.11,5.2,187,142,39,300,13,40,293,86.35,8,10,15,15.7,2442,9.6,2139,0.91,,,
New York Islanders,2002,27.5,82,42,28,4,96,0.585,239,220,0.15,-0.08,5.6,163,158,59,363,16.25,52,366,85.79,17,10,15.2,16,2319,10.3,2285,0.904,,,
Chicago Blackhawks,2002,29.4,82,41,27,1,96,0.585,216,207,0.19,0.08,5.16,158,142,54,302,17.88,63,340,81.47,4,2,14.9,13,2271,9.5,2077,0.9,,,
Phoenix Coyotes,2002,27.2,82,40,27,6,95,0.579,228,210,0.29,0.07,5.34,167,144,53,340,15.59,60,356,83.15,8,6,13.9,14.6,2179,10.5,2349,0.911,,,
Los Angeles Kings,2002,28.9,82,40,27,4,95,0.579,214,190,0.35,0.05,4.93,136,135,73,353,20.68,49,366,86.61,5,6,16.2,15.6,2110,10.1,2051,0.907,,,
New Jersey Devils,2002,28.9,82,41,28,4,95,0.579,205,187,0.15,-0.07,4.78,159,136,44,261,16.86,43,265,83.77,2,8,12.1,11.8,2445,8.4,1900,0.902,,,
Vancouver Canucks,2002,26.3,82,42,30,3,94,0.573,254,211,0.59,0.07,5.67,182,145,69,372,18.55,57,379,84.96,3,9,16,15.7,2326,10.9,2078,0.899,,,
Ottawa Senators,2002,26.3,82,39,27,7,94,0.573,243,208,0.36,-0.07,5.5,177,155,55,331,16.62,48,307,84.36,11,5,16.3,16.6,2469,9.8,2125,0.902,,,
Edmonton Oilers,2002,26.1,82,38,28,4,92,0.561,205,182,0.34,0.06,4.72,142,125,51,333,15.32,50,348,85.63,12,7,15.4,14.9,2256,9.1,2120,0.914,,,
Carolina Hurricanes,2002,29.2,82,35,26,5,91,0.555,217,217,-0.09,-0.09,5.29,150,152,63,391,16.11,54,332,83.73,4,11,12.3,15.9,2347,9.2,2214,0.902,,,
Dallas Stars,2002,30.5,82,36,28,5,90,0.549,215,213,0.09,0.07,5.22,148,146,60,350,17.14,59,319,81.5,7,8,11.5,13.1,2335,9.2,2135,0.9,,,
Montreal Canadiens,2002,28.4,82,36,31,3,87,0.53,207,209,-0.1,-0.08,5.07,155,167,45,301,14.95,38,277,86.28,7,4,11.6,12.5,2092,9.9,2597,0.92,,,
Washington Capitals,2002,30.1,82,36,33,2,85,0.518,228,240,-0.25,-0.1,5.71,168,174,58,299,19.4,58,325,82.15,2,8,12.6,13.1,2293,9.9,2357,0.898,,,
Buffalo Sabres,2002,26,82,35,35,1,82,0.5,213,200,0.09,-0.07,5.04,156,153,50,375,13.33,41,304,86.51,7,6,14.6,16,2295,9.3,2120,0.906,,,
New York Rangers,2002,28.9,82,36,38,4,80,0.488,227,258,-0.43,-0.05,5.91,171,173,48,326,14.72,80,398,79.9,8,5,21.3,16.8,2392,9.5,2618,0.901,,,
Calgary Flames,2002,27.6,82,32,35,3,79,0.482,201,220,-0.15,0.08,5.13,136,149,55,364,15.11,66,356,81.46,10,5,19.2,19.1,2207,9.1,2242,0.902,,,
Minnesota Wild,2002,27.3,82,26,35,9,73,0.445,195,238,-0.41,0.11,5.28,129,167,55,373,14.75,62,362,82.87,11,9,14.6,14,1954,10,2296,0.896,,,
Nashville Predators,2002,26.8,82,28,41,0,69,0.421,196,230,-0.31,0.1,5.2,142,172,48,337,14.24,50,354,85.88,6,8,12.8,13.4,2019,9.7,2313,0.901,,,
Mighty Ducks of Anaheim,2002,27,82,29,42,3,69,0.421,175,198,-0.2,0.08,4.55,128,143,43,373,11.53,46,330,86.06,4,9,15.1,17,2142,8.2,2253,0.912,,,
Pittsburgh Penguins,2002,26.5,82,28,41,5,69,0.421,198,249,-0.66,-0.04,5.45,146,182,47,335,14.03,57,352,83.81,5,10,15,14,2215,8.9,2394,0.896,,,
Tampa Bay Lightning,2002,26.4,82,27,40,4,69,0.421,178,219,-0.58,-0.08,4.84,126,170,46,312,14.74,40,273,85.35,6,9,12.8,12.8,2179,8.2,2523,0.913,,,
Florida Panthers,2002,26.1,82,22,44,6,60,0.366,180,250,-0.92,-0.07,5.24,122,167,50,341,14.66,76,393,80.66,8,7,24.1,22.1,2205,8.2,2666,0.906,,,
Columbus Blue Jackets,2002,28,82,22,47,5,57,0.348,164,255,-0.97,0.14,5.11,111,195,50,356,14.04,52,306,83.01,3,8,14.4,16.2,2046,8,2469,0.897,,,
Atlanta Thrashers,2002,27.1,82,19,47,5,54,0.329,187,288,-1.27,-0.04,5.79,147,211,37,306,12.09,65,358,81.84,3,12,15.5,14.2,1984,9.4,2911,0.901,,,
Colorado Avalanche,2001,28.4,82,52,16,4,118,0.72,270,192,0.95,0,5.63,179,122,80,363,22.04,59,342,82.75,11,11,13.7,14.3,2395,11.3,2059,0.907,,,
Detroit Red Wings,2001,30.1,82,49,20,4,111,0.677,253,202,0.63,0.01,5.55,158,140,85,384,22.14,55,385,85.71,10,7,13,12.8,2650,9.5,2221,0.909,,,
New Jersey Devils,2001,28.5,82,48,19,3,111,0.677,295,195,1.1,-0.12,5.98,215,140,71,310,22.9,49,320,84.69,9,6,14.9,13.6,2588,11.4,2024,0.904,,,
Ottawa Senators,2001,25.8,82,48,21,4,109,0.665,274,205,0.74,-0.1,5.84,193,151,71,381,18.64,49,361,86.43,10,5,12.8,14.1,2476,11.1,2235,0.908,,,
Dallas Stars,2001,29.4,82,48,24,2,106,0.646,241,187,0.68,0.02,5.22,162,131,72,367,19.62,49,355,86.2,7,7,12.6,13.5,2100,11.5,2043,0.908,,,
St. Louis Blues,2001,28.5,82,43,22,5,103,0.628,249,195,0.67,0.01,5.41,162,131,72,385,18.7,57,389,85.35,15,7,16.2,16.4,2494,10,1933,0.899,,,
Philadelphia Flyers,2001,28.1,82,43,25,3,100,0.61,240,207,0.33,-0.07,5.45,174,143,55,350,15.71,55,314,82.48,11,9,14.3,16.1,2452,9.8,2144,0.903,,,
Buffalo Sabres,2001,28.1,82,46,30,1,98,0.598,218,184,0.35,-0.07,4.9,152,139,60,373,16.09,40,334,88.02,6,5,15.1,15.4,2204,9.9,2195,0.916,,,
Pittsburgh Penguins,2001,28,82,42,28,3,96,0.585,281,256,0.23,-0.07,6.55,198,167,76,375,20.27,78,405,80.74,7,11,19.2,18.7,2394,11.7,2397,0.893,,,
Washington Capitals,2001,30.1,82,41,27,4,96,0.585,233,211,0.16,-0.1,5.41,152,142,75,353,21.25,62,391,84.14,6,7,13.8,12.8,2348,9.9,2273,0.907,,,
San Jose Sharks,2001,26.8,82,40,27,3,95,0.579,217,192,0.36,0.06,4.99,152,121,57,406,14.04,61,441,86.17,8,10,16.5,16.8,2266,9.6,2169,0.911,,,
Edmonton Oilers,2001,26.2,82,39,28,3,93,0.567,243,222,0.32,0.07,5.67,171,156,59,398,14.82,62,382,83.77,13,4,15.6,15.5,2145,11.3,2139,0.896,,,
Los Angeles Kings,2001,28.5,82,38,28,3,92,0.561,252,228,0.32,0.03,5.85,167,150,71,367,19.35,72,382,81.15,14,6,14.3,14.4,2288,11,2160,0.894,,,
Toronto Maple Leafs,2001,29.4,82,37,29,5,90,0.549,232,207,0.25,-0.05,5.35,173,143,57,355,16.06,55,366,84.97,2,9,17.4,15.1,2276,10.2,2244,0.908,,,
Vancouver Canucks,2001,26.7,82,36,28,7,90,0.549,239,238,0.08,0.07,5.82,156,153,71,416,17.07,74,387,80.88,12,11,13.4,15.6,2434,9.8,2121,0.888,,,
Phoenix Coyotes,2001,28.5,82,35,27,3,90,0.549,214,212,0.07,0.05,5.2,148,142,57,343,16.62,64,432,85.19,9,6,16.2,12.4,2055,10.4,2430,0.913,,,
Carolina Hurricanes,2001,28.7,82,38,32,3,88,0.537,212,225,-0.24,-0.08,5.33,134,164,72,382,18.85,45,351,87.18,6,16,13.1,13.7,2217,9.6,2206,0.898,,,
Boston Bruins,2001,26.9,82,36,30,8,88,0.537,227,249,-0.27,0,5.8,155,177,64,390,16.41,65,377,82.76,8,7,16,16.7,2359,9.6,2190,0.886,,,
Nashville Predators,2001,27,82,34,36,3,80,0.488,186,200,-0.11,0.06,4.71,128,147,51,361,14.13,49,331,85.2,7,4,11.4,12.2,2182,8.5,2347,0.915,,,
Calgary Flames,2001,27.7,82,27,36,4,73,0.445,197,236,-0.37,0.11,5.28,129,149,65,435,14.94,76,378,79.89,3,11,16.6,18.8,2230,8.8,2224,0.894,,,
New York Rangers,2001,29.5,82,33,43,1,72,0.439,250,290,-0.53,-0.04,6.59,169,192,65,363,17.91,86,400,78.5,16,12,18.3,16.8,2345,10.7,2575,0.887,,,
Chicago Blackhawks,2001,27.8,82,29,40,5,71,0.433,210,246,-0.36,0.08,5.56,154,182,41,318,12.89,52,323,83.9,15,12,11.9,11.9,2160,9.7,2190,0.888,,,
Columbus Blue Jackets,2001,28.2,82,28,39,6,71,0.433,190,233,-0.44,0.08,5.16,131,155,56,381,14.7,70,363,80.72,3,8,14.8,14.9,2082,9.1,2475,0.906,,,
Montreal Canadiens,2001,26.8,82,28,40,6,70,0.427,206,232,-0.35,-0.03,5.34,132,169,68,421,16.15,60,337,82.2,5,3,12.2,15.7,2147,9.5,2296,0.899,,,
Minnesota Wild,2001,27.4,82,25,39,5,68,0.415,168,210,-0.42,0.09,4.61,119,139,36,374,9.63,57,373,84.72,13,14,14.3,13.8,2020,8.3,2307,0.909,,,
Mighty Ducks of Anaheim,2001,26.9,82,25,41,5,66,0.402,188,245,-0.6,0.1,5.28,116,161,66,373,17.69,71,390,81.79,6,13,13.7,12.6,2123,8.9,2417,0.899,,,
Florida Panthers,2001,27,82,22,38,9,66,0.402,200,246,-0.6,-0.04,5.44,146,169,46,353,13.03,64,398,83.92,8,13,18.3,18.1,2170,9.2,2559,0.904,,,
Atlanta Thrashers,2001,27.8,82,23,45,2,60,0.366,211,289,-0.99,-0.04,6.1,148,191,54,395,13.67,90,408,77.94,9,8,18.2,17.7,2291,9.2,2655,0.891,,,
Tampa Bay Lightning,2001,24.6,82,24,47,5,59,0.36,201,280,-0.98,-0.01,5.87,139,197,53,424,12.5,72,422,82.94,9,11,16.9,16.1,2014,10,2557,0.89,,,
New York Islanders,2001,26.8,82,21,51,3,52,0.317,185,268,-1.02,0,5.52,125,175,51,386,13.21,79,445,82.25,9,14,16.2,14.5,2257,8.2,2377,0.888,,,
St. Louis Blues,2000,28.7,82,51,19,1,114,0.695,248,165,1.08,0.07,5.04,174,120,61,342,17.84,42,345,87.83,13,3,13.6,13.9,2445,10.1,1814,0.909,,,
Detroit Red Wings,2000,30.7,82,48,22,2,108,0.659,278,210,0.88,0.05,5.95,194,160,69,338,20.41,44,311,85.85,15,6,12.1,12.7,2620,10.6,2169,0.903,,,
Philadelphia Flyers,2000,29,82,45,22,3,105,0.64,237,179,0.58,-0.13,5.07,161,130,69,340,20.29,42,316,86.71,7,7,14.9,16,2495,9.5,1938,0.908,,,
New Jersey Devils,2000,27.8,82,45,24,5,103,0.628,251,203,0.46,-0.13,5.54,186,155,55,274,20.07,39,313,87.54,9,9,15.8,13.8,2716,9.2,2100,0.903,,,
Washington Capitals,2000,29,82,44,24,2,102,0.622,227,194,0.28,-0.13,5.13,175,144,43,287,14.98,47,341,86.22,9,3,12,10.8,2269,10,2270,0.915,,,
Dallas Stars,2000,28.8,82,43,23,6,102,0.622,211,184,0.41,0.08,4.82,148,142,54,343,15.74,33,307,89.25,9,9,12.4,13.5,2099,10.1,2183,0.916,,,
Toronto Maple Leafs,2000,28.2,82,45,27,3,100,0.61,246,222,0.25,-0.05,5.71,178,159,57,321,17.76,58,330,82.42,11,5,13.3,13.6,2160,11.4,2386,0.907,,,
Florida Panthers,2000,27.6,82,43,27,6,98,0.598,244,209,0.28,-0.15,5.52,184,154,58,338,17.16,47,323,85.45,2,8,16.1,16.7,2198,11.1,2431,0.914,,,
Colorado Avalanche,2000,27.4,82,42,28,1,96,0.585,233,201,0.46,0.07,5.29,171,142,59,302,19.54,52,335,84.48,3,7,13.4,12.7,2187,10.7,2282,0.912,,,
Ottawa Senators,2000,27.4,82,41,28,2,95,0.579,244,210,0.3,-0.12,5.54,186,168,52,310,16.77,34,273,87.55,6,8,10.2,11.9,2584,9.4,2064,0.898,,,
Los Angeles Kings,2000,28,82,39,27,4,94,0.573,245,228,0.3,0.09,5.77,181,150,60,356,16.85,66,373,82.31,4,12,16,15.9,2421,10.1,2290,0.9,,,
Phoenix Coyotes,2000,29.6,82,39,31,4,90,0.549,232,228,0.15,0.1,5.61,181,178,37,310,11.94,43,306,85.95,14,7,11.3,11.1,2212,10.5,2334,0.902,,,
Pittsburgh Penguins,2000,26.8,82,37,31,6,88,0.537,241,236,-0.03,-0.09,5.82,180,169,54,346,15.61,56,321,82.55,7,11,14.7,14.5,2137,11.3,2356,0.9,,,
Edmonton Oilers,2000,26,82,32,26,8,88,0.537,226,212,0.22,0.05,5.34,164,154,53,336,15.77,54,369,85.37,9,4,16.2,14.9,2310,9.8,2318,0.909,,,
San Jose Sharks,2000,27.6,82,35,30,7,87,0.53,225,214,0.23,0.1,5.35,147,149,62,377,16.45,61,372,83.6,16,4,15.7,14.8,2248,10,2357,0.909,,,
Buffalo Sabres,2000,26.5,82,35,32,4,85,0.518,213,204,0.01,-0.1,5.09,168,140,37,351,10.54,54,361,85.04,8,10,14.2,13.5,2228,9.6,2207,0.908,,,
Carolina Hurricanes,2000,29.4,82,37,35,0,84,0.512,217,216,-0.1,-0.11,5.28,156,169,58,342,16.96,40,253,84.19,3,7,9.7,11.8,2161,10,2141,0.899,,,
Vancouver Canucks,2000,27,82,30,29,8,83,0.506,227,237,-0.01,0.11,5.66,167,167,51,323,15.79,63,322,80.43,9,7,12.5,12.2,2187,10.4,2292,0.897,,,
Montreal Canadiens,2000,27.6,82,35,34,4,83,0.506,196,194,-0.06,-0.09,4.76,135,146,54,323,16.72,40,302,86.75,7,8,12.8,12.8,2135,9.2,2264,0.914,,,
Mighty Ducks of Anaheim,2000,27.6,82,34,33,3,83,0.506,217,227,0.02,0.14,5.41,158,157,55,332,16.57,62,296,79.05,4,8,11.2,12.9,2352,9.2,2259,0.9,,,
Chicago Blackhawks,2000,27.1,82,33,37,2,78,0.476,242,245,0.1,0.13,5.94,180,174,52,325,16,58,355,83.66,10,13,17.4,17.3,2106,11.5,2397,0.898,,,
Calgary Flames,2000,26.5,82,31,36,5,77,0.47,211,256,-0.42,0.13,5.7,148,174,59,330,17.88,74,365,79.73,4,8,15.4,15.5,2468,8.5,2381,0.892,,,
Boston Bruins,2000,26.8,82,24,33,6,73,0.445,210,248,-0.52,-0.06,5.59,159,189,51,355,14.37,55,268,79.48,0,4,10.5,13.1,2516,8.3,2273,0.891,,,
New York Rangers,2000,29.6,82,29,38,3,73,0.445,218,246,-0.39,-0.05,5.66,158,188,55,325,16.92,49,292,83.22,5,9,11.1,12.5,2416,9,2446,0.899,,,
Nashville Predators,2000,26.7,82,28,40,7,70,0.427,199,240,-0.36,0.14,5.35,149,183,41,304,13.49,46,309,85.11,9,11,11.4,11.3,2215,9,2499,0.904,,,
New York Islanders,2000,24.4,82,24,48,1,58,0.354,194,275,-1.02,-0.03,5.72,141,183,45,320,14.06,84,420,80,8,8,16.7,13.8,2146,9,2742,0.9,,,
Tampa Bay Lightning,2000,25.3,82,19,47,7,54,0.329,204,310,-1.34,-0.05,6.27,144,226,51,365,13.97,77,399,80.7,9,7,20.9,19.1,2084,9.8,2494,0.876,,,
Atlanta Thrashers,2000,27.5,82,14,57,4,39,0.238,170,313,-1.75,0,5.89,120,224,44,348,12.64,76,386,80.31,6,13,17.2,16,2115,8,2543,0.877,,,
